TypeSectionCode ;code ;DescriptionInEnglish ;DescriptionInRussian ;NameInEngish ;NameInRussian ;id
H ;WHRL ;a turbulent, rotating movement of water in a stream ;бурное, вращательное движение воды в ручье ;whirlpool ;водоворот ;bfed1bc8-be15-4bd9-be0f-a5ac466fefc5
H ;WLL ;a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface ;цилиндрическая яма, яма или туннель, пробуренные или вырытые на глубину, из которой вода, нефть или газ могут быть перекачаны или доставлены на поверхность ;well ;хорошо ;a73a32b3-2b43-4fd1-a467-edd68ef63783
H ;WLLQ ;" " ;" " ;abandoned well ;заброшенный колодец ;dcae964e-90a1-484e-bf5c-29e2778544b8
H ;WLLS ;cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface ;цилиндрические отверстия, ямы или туннели, пробуренные или вырытые на глубину, из которой вода, нефть или газ могут быть перекачаны или доставлены на поверхность ;wells ;колодцы ;068ab9a3-71b5-46f7-ae71-e9d012fe451a
H ;WTLD ;an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation ;территория, подверженная затоплению, обычно характеризующаяся трясиной, болотной или заболоченной растительностью ;wetland ;болото ;00beb001-ffb1-4eac-80ef-6b494b864973
H ;WTLDI ;" " ;" " ;intermittent wetland ;прерывистое водно-болотное угодье ;6102f5b8-bff4-4601-b1e4-5cc6dcee5dc5
H ;WTRC ;a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water ;естественный, четко определенный канал, образованный текущей водой, или искусственный канал, предназначенный для прохождения текущей воды ;watercourse ;водоток ;1afe2d51-b619-4584-a911-f7cbdd01eaf1
H ;WTRH ;a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas ;естественная яма, лощина или небольшая впадина, содержащая воду, используемая человеком и животными, особенно в засушливых районах. ;waterhole(s) ;водопой (ы) ;cedb7d03-2591-48e1-816f-696a366cdc2e
L ;AGRC ;a tract of land set aside for agricultural settlement ;участок земли, отведенный под сельскохозяйственное поселение ;agricultural colony ;сельскохозяйственная колония ;1afefde7-b73e-42a4-9dc4-0b249390379e
L ;AMUS ;Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location ;Парк развлечений - это тематические парки, парки приключений, предлагающие развлечения, похожие на ярмарки, но с фиксированным местоположением. ;amusement park ;парк с аттракционами ;69d9b437-b829-4e16-b23c-08236cb97f2c
L ;AREA ;a tract of land without homogeneous character or boundaries ;участок земли без однородного характера или границ ;area ;область ;1082150e-36da-42d6-817f-73cc5b5f8224
L ;BSND ;an area drained by a stream ;территория, осушенная ручьем ;drainage basin ;водосборный бассейн ;530237f1-9f4f-4f2f-a3b8-10ce29f10456
L ;BSNP ;an area underlain by an oil-rich structural basin ;область, подстилаемая богатым нефтью структурным бассейном ;petroleum basin ;нефтяной бассейн ;2d701a40-6a70-4ac4-b115-c894f42e95af
L ;BTL ;a site of a land battle of historical importance ;место сухопутной битвы исторического значения ;battlefield ;поле битвы ;117b61b7-cec3-4e45-8b1b-02ee924c0b75
L ;CLG ;an area in a forest with trees removed ;участок в лесу с вырубленными деревьями ;clearing ;расчистка ;cb075aa1-72ec-427e-beae-ae040db8a102
L ;CMN ;a park or pasture for community use ;парк или пастбище для общественного пользования ;common ;общий ;7f1c736a-3120-4f96-b077-22df5cbe7d16
L ;CNS ;a lease of land by a government for economic development, e.g., mining, forestry ;аренда земли правительством для экономического развития, например, горнодобывающая промышленность, лесное хозяйство ;concession area ;концессия ;6d88bd6b-fe10-495c-aeb9-7a2715d0868d
L ;COLF ;a region in which coal deposits of possible economic value occur ;регион, в котором находятся залежи угля, имеющие возможную экономическую ценность ;coalfield ;угольное месторождение ;93a4e0e2-2489-4caa-ab65-e1a9dc6d8a96
L ;CONT ;continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica ;континент: Европа, Африка, Азия, Северная Америка, Южная Америка, Океания, Антарктида ;continent ;континент ;5874d093-b5d0-4a6f-bae6-8e6996de7e93
L ;CST ;a zone of variable width straddling the shoreline ;зона переменной ширины вдоль береговой линии ;coast ;побережье ;d3f53beb-16c3-45c9-9511-73dbdfb3abb6
